"Invoice0000001","500","USD","21/08/2021 06:08:16","Approved"
"Invoice0000002","2000","USD","22/08/2021 05:08:59","Approved"
"Invoice0000003","900","USD","23/08/2021 03:08:59","Approved"
"Invoice0000008","3000","IDR","24/08/2021 02:08:59","Failed"
"Invoice0000005","500","IDR","25/08/2021 07:08:59","Failed"
"Invoice0000006","900","IDR","26/08/2021 06:08:59","Failed"
"Invoice0000007","800","SGD","27/08/2021 02:08:59","Finished"
"Invoice0000008","6000","SGD","28/08/2021 08:08:59","Finished"
"Invoice0000009","8000","SGD","29/08/2021 07:08:59","Finished"
"Invoice00000010","19000","SGD","30/08/2021 12:08:59","Finished"
